ID,Pred,Season,Team1,Team2,deltaSeed,deltaWinPct,deltaPointsFor,deltaPointsAgainst,deltaFGM,deltaFGA,deltaFGM3,deltaFGA3,deltaFTM,deltaFTA,deltaOR,deltaDR,deltaAst,deltaTO,deltaStl,deltaBlk,deltaPF
2022_1103_1104,0.5,2022,1103,1104,7,0.11592741935483875,-10.678427419354833,-12.24495967741936,-4.075604838709676,-10.782258064516128,-1.571572580645161,-8.416330645161292,-0.9556451612903221,-0.22379032258064413,-3.754032258064516,-1.234879032258064,-3.108870967741936,-3.255040322580646,-1.516129032258065,-1.621975806451613,-2.62600806451613
2022_1103_1112,0.5,2022,1103,1112,12,-0.20208728652751418,-15.2685009487666,-3.3681214421252434,-6.860531309297912,-9.4146110056926,-0.05502846299810216,-0.2343453510436433,-1.4924098671726753,-0.7201138519924086,-2.5702087286527515,-4.869070208728651,-8.395635673624287,-2.1024667931688814,-1.2220113851992416,-2.6091081593927896,-0.5028462998102459
2022_1103_1116,0.5,2022,1103,1116,9,-0.047898338220918824,-7.64907135874877,-4.384164222873906,-3.055718475073313,-8.638318670576737,1.3460410557184757,0.9198435972629504,-2.8836754643206266,-2.130987292277613,-1.8260019550342133,-2.0009775171065485,-2.5747800586510277,-1.3128054740957982,-2.2434017595307925,-1.0850439882697946,-0.8807429130009776
2022_1103_1120,0.5,2022,1103,1120,11,-0.13407258064516125,-9.428427419354833,-2.8699596774193594,-4.356854838709676,-11.594758064516128,-0.41532258064516103,-3.697580645161292,-0.29939516129032206,0.7449596774193559,-2.347782258064516,-2.234879032258064,-3.015120967741936,-0.8175403225806459,-3.297379032258065,-4.746975806451613,-2.56350806451613
2022_1103_1124,0.5,2022,1103,1124,12,-0.10282258064516125,-7.209677419354833,0.5362903225806406,-4.638104838709676,-8.907258064516128,-0.22782258064516103,-1.2913306451612918,2.294354838709678,3.463709677419356,-3.097782258064516,0.7338709677419359,-4.327620967741936,-1.161290322580646,-3.328629032258065,-0.309475806451613,0.12399193548387011
2022_1103_1129,0.5,2022,1103,1129,5,-0.0782013685239491,1.1691104594330426,3.2825024437927652,-0.6617790811339184,-2.45650048875855,0.5278592375366573,0.647116324535677,1.964809384164223,1.6871945259042036,-0.9169110459433032,0.3020527859237525,0.18279569892473013,-0.2521994134897376,-0.39491691104594384,-0.3577712609970676,0.9374389051808389
2022_1103_1136,0.5,2022,1103,1136,-3,0.00967741935483879,-7.14301075268817,-9.20537634408602,-3.052688172043009,-9.932258064516127,-0.5903225806451617,-5.389247311827958,-0.4473118279569892,0.5720430107526902,-2.595698924731183,-2.649462365591397,-1.9505376344086027,-2.2946236559139788,-0.849462365591398,-1.1032258064516132,-0.7989247311827956
2022_1103_1151,0.5,2022,1103,1151,0,-0.07157258064516125,-3.8034274193548328,-1.6199596774193594,-3.106854838709676,-5.938508064516128,-0.04032258064516103,-1.0725806451612918,2.450604838709678,5.213709677419356,-0.972782258064516,0.35887096774193594,-0.9213709677419359,0.3074596774193541,-1.578629032258065,0.940524193548387,0.12399193548387011
2022_1103_1159,0.5,2022,1103,1159,-1,0.043010752688172116,-6.133919843597255,-3.4750733137829997,-3.8739002932551294,-5.9110459433040035,-2.078201368523948,-2.655913978494624,3.6920821114369513,5.3538611925708715,0.3255131964809381,-2.304007820136853,-5.423264907135874,-0.07038123167155419,-0.7282502443792769,-0.4486803519061584,1.301075268817204
2022_1103_1161,0.5,2022,1103,1161,7,-0.11790878754171297,-3.9510567296996584,-1.7007786429365979,-2.7986651835372633,-2.7219132369299217,0.08898776418242527,0.3325917686318114,1.557285873192436,4.218020022246943,1.9054505005561735,-0.4471635150166833,-2.5873192436040053,1.25250278086763,-0.7230255839822028,0.027808676307007563,0.9677419354838701
2022_1103_1163,0.5,2022,1103,1163,8,-0.009072580645161255,-5.897177419354833,-0.9949596774193594,-3.231854838709676,-9.594758064516128,0.27217741935483897,0.6149193548387082,0.29435483870967794,1.9949596774193559,-4.410282258064516,-1.734879032258064,-2.483870967741936,-0.5675403225806459,-0.48487903225806495,-3.403225806451613,-0.8447580645161299
2022_1103_1166,0.5,2022,1103,1166,4,0.043010752688172116,0.2600195503421361,-1.778103616813297,-2.176930596285434,-5.214076246334308,1.0127077223851417,-0.17106549364613954,3.6011730205278596,5.990224828934508,-0.3714565004887582,-3.9100684261974585,-1.6353861192570882,-2.524926686217009,0.12023460410557174,-1.3274682306940369,2.5434995112414462
2022_1103_1168,0.5,2022,1103,1168,-2,0.05450500556173532,0.3937708565072313,-1.8387096774193594,-0.626251390433815,-2.825361512791993,2.1924360400444938,5.229143492769744,-0.5461624026696317,1.2525027808676334,-0.3359288097886548,1.5183537263626263,0.6885428253615125,-0.6095661846496121,-1.4126807563959956,1.1657397107897662,-0.23915461624026868
2022_1103_1172,0.5,2022,1103,1172,3,-0.10282258064516125,-5.334677419354833,-1.6512096774193594,-2.575604838709676,-2.844758064516128,-0.946572580645161,-0.8538306451612918,0.7631048387096779,2.807459677419356,1.527217741935484,-1.547379032258064,-2.858870967741936,1.432459677419354,0.858870967741935,0.503024193548387,1.12399193548387
2022_1103_1174,0.5,2022,1103,1174,-2,0.07331378299120239,-3.8611925708699886,-6.172043010752688,-2.2375366568914927,-3.1231671554252216,0.34604105571847565,0.647116324535677,0.26783968719452567,1.7781036168132935,0.38611925708699957,1.3626588465298148,-0.9081133919843598,-1.3128054740957982,-1.0009775171065494,-0.6304985337243401,0.14956011730205176
2022_1103_1181,0.5,2022,1103,1181,11,-0.1138519924098671,-10.886148007590123,-2.9857685009487653,-6.09582542694497,-8.79696394686907,-0.4667931688804545,-0.5578747628083498,1.7722960151802667,3.485768500948769,-1.5407969639468693,-2.8396584440227706,-5.277988614800758,0.9269449715370008,-0.9867172675521827,-2.3444022770398485,2.320683111954459
2022_1103_1209,0.5,2022,1103,1209,-3,0.10967741935483877,0.9703225806451741,-3.0787096774193543,-0.33935483870967786,-9.192258064516125,0.4296774193548387,-0.8825806451612905,1.2193548387096786,2.3987096774193546,-3.129032258064516,1.523870967741935,-1.0438709677419364,-0.4012903225806461,-2.756129032258065,-1.1432258064516132,-0.5922580645161286
2022_1103_1211,0.5,2022,1103,1211,12,-0.1868743047830923,-18.537263626251388,-1.1835372636262491,-9.350389321468295,-10.515016685205786,-0.6696329254727464,-0.4605116796440498,0.8331479421579537,2.2525027808676334,-0.4738598442714128,-6.481646273637374,-6.587319243604004,-0.7819799777530605,-1.1713014460511681,-2.627363737486096,0.5539488320355943
2022_1103_1222,0.5,2022,1103,1222,8,-0.14326375711574946,-6.533206831119543,5.27893738140417,-4.566413662239089,-8.061669829222012,-0.29032258064516103,-1.7931688804554078,2.8899430740037957,3.603415559772298,-4.334914611005692,-1.016129032258064,-5.219165085388994,0.04459203036052983,-2.751423149905123,-2.1091081593927896,-1.414611005692601
2022_1103_1228,0.5,2022,1103,1228,9,0.0,-6.483870967741936,-3.483870967741936,-3.0967741935483843,-6.935483870967744,-1.516129032258065,-3.451612903225808,1.225806451612904,2.193548387096776,-2.096774193548386,-1.9677419354838719,-3.870967741935484,-0.5161290322580658,0.32258064516129004,0.09677419354838701,-0.3870967741935498
2022_1103_1231,0.5,2022,1103,1231,1,0.10361681329423267,-2.194525904203317,-1.778103616813297,-2.4496578690127073,-4.789833822091886,1.5884652981427179,3.616813294232646,1.1163245356793752,1.8084066471163247,0.41642228739002984,-2.1221896383186696,-3.4232649071358754,-0.7067448680351909,-0.24340175953079246,-1.8729227761485827,-1.274682306940372
2022_1103_1234,0.5,2022,1103,1234,8,-0.03317972350230414,-14.481105990783405,-7.124423963133651,-6.333640552995391,-12.489400921658984,-1.5760368663594475,-3.579723502304148,-0.23778801843317865,1.267281105990783,-2.700460829493087,-0.23041474654377936,-4.569585253456221,2.067281105990782,-1.9161290322580653,-1.274654377880184,-0.17511520737327224
2022_1103_1235,0.5,2022,1103,1235,2,0.08467741935483875,2.8215725806451672,1.1612903225806406,-0.9193548387096762,-3.876008064516128,0.990927419354839,0.7711693548387082,3.669354838709678,5.119959677419356,0.12096774193548399,2.327620967741936,-3.202620967741936,-2.286290322580646,-2.922379032258065,0.03427419354838701,-2.06350806451613
2022_1103_1240,0.5,2022,1103,1240,-2,0.05450500556173532,-1.7096774193548328,-2.4593993325917722,-1.488320355951057,-2.5150166852057865,-1.1868743047830916,-1.5984427141268078,2.4538375973303683,3.3214682981090107,-0.02558398220244662,-2.0333704115684093,-2.001112347052281,-1.6440489432703007,-0.5506117908787544,0.09677419354838701,1.5539488320355943
2022_1103_1242,0.5,2022,1103,1242,12,-0.1138519924098671,-9.297912713472485,-3.9857685009487653,-5.066413662239089,-7.591081593927896,0.5626185958254268,1.5597722960151792,0.2722960151802667,1.3092979127134718,-2.0702087286527515,-1.5749525616698286,-3.9250474383301714,-1.1907020872865282,-0.9278937381404182,-1.0502846299810251,0.0853889943073991
2022_1103_1246,0.5,2022,1103,1246,11,-0.0782013685239491,-10.164222873900286,-1.8387096774193594,-6.843597262952102,-10.820136852394917,1.5581622678396876,4.071358748778103,1.964809384164223,3.7781036168132935,-3.5229716520039105,-2.0009775171065485,-4.574780058651026,-0.282502443792767,-1.3343108504398833,-1.0850439882697946,1.725317693059628
2022_1103_1255,0.5,2022,1103,1255,-1,-0.07603686635944695,-4.423963133640541,-2.3744239631336512,-1.7764976958525338,-5.032258064516128,-0.46889400921658986,0.49884792626728114,-0.40207373271889324,0.4101382488479288,-1.7004608294930872,0.9481566820276512,-1.8410138248847936,-0.6255760368663594,-1.9447004608294938,1.1324884792626728,0.32488479262672776
2022_1103_1260,0.5,2022,1103,1260,3,-0.06451612903225801,-4.064516129032256,2.032258064516121,-2.4516129032258043,-2.1612903225806477,-1.161290322580645,-1.6774193548387117,2.0,3.5483870967741957,1.161290322580645,-1.1612903225806441,-3.258064516129032,-0.741935483870968,-1.193548387096775,0.6451612903225805,-1.451612903225806
2022_1103_1261,0.5,2022,1103,1261,7,0.043010752688172116,-3.8308895405669574,0.6158357771260938,-2.5405669599217973,-7.365591397849464,1.164222873900293,1.1319648093841614,0.08602150537634401,1.2629521016617815,-2.704789833822092,0.02932551319648269,-1.2111436950146626,-3.2521994134897376,-5.607038123167157,-1.2668621700879763,-3.365591397849462
2022_1103_1266,0.5,2022,1103,1266,4,0.09677419354838712,-5.096774193548384,-6.709677419354847,-3.3548387096774164,-7.451612903225808,-0.903225806451613,-3.129032258064516,2.516129032258066,4.903225806451614,1.870967741935484,-1.9677419354838719,-4.483870967741936,-1.290322580645162,-2.387096774193549,-2.0,-1.4838709677419377
2022_1103_1272,0.5,2022,1103,1272,4,0.032258064516129115,-6.1290322580645125,-4.225806451612911,-3.3548387096774164,-5.258064516129032,1.387096774193549,4.064516129032256,-0.806451612903226,-1.1612903225806441,-3.193548387096774,-0.8387096774193559,-4.548387096774196,-4.967741935483872,-3.225806451612903,-2.580645161290323,-2.7419354838709697
2022_1103_1274,0.5,2022,1103,1274,3,0.012707722385141729,-5.527859237536646,-6.869012707722391,-3.9951124144672505,-5.668621700879761,0.4066471163245362,0.9804496578690127,2.0557184750733146,4.202346041055719,1.6285434995112418,1.8778103616813304,-2.483870967741936,1.5356793743890513,-3.2434017595307916,0.15738025415444756,1.0283479960899307
2022_1103_1276,0.5,2022,1103,1276,2,0.16129032258064524,-3.741935483870961,-5.709677419354847,-3.516129032258064,-5.9032258064516085,1.35483870967742,2.9677419354838683,1.935483870967742,4.096774193548388,-0.870967741935484,-0.48387096774193594,-2.67741935483871,-0.2580645161290338,0.7096774193548381,0.0,0.41935483870967616
2022_1103_1277,0.5,2022,1103,1277,6,0.06261859582542695,-2.797912713472485,-4.279886148007591,-2.419354838709676,-4.944022770398483,0.5332068311195446,2.677419354838708,1.5075901328273247,3.5445920303605334,-0.629032258064516,-1.7220113851992416,-4.27798861480076,-1.8671726755218216,-0.33965844402277057,-1.9620493358633775,-0.9734345351043654
